title,classification,confidence,score_real_world,score_speculative,score_lore,url
Psi Jammer,testable_real_world_engineering,0.78,40,58,0,https://wiki.fusiongirl.app/index.php?title=Psi_Jammer
Higher-Dimensional Physics,testable_real_world_engineering,0.99,37,0,18,https://wiki.fusiongirl.app/index.php?title=Higher-Dimensional_Physics
QuasiPhysics,testable_real_world_engineering,0.96,33,70,0,https://wiki.fusiongirl.app/index.php?title=QuasiPhysics
Neural Firewall,testable_real_world_engineering,0.94,30,62,0,https://wiki.fusiongirl.app/index.php?title=Neural_Firewall
Psi Disruptor,testable_real_world_engineering,0.97,28,62,0,https://wiki.fusiongirl.app/index.php?title=Psi_Disruptor
Psi-Ops,testable_real_world_engineering,0.99,25,78,0,https://wiki.fusiongirl.app/index.php?title=Psi-Ops
Psi Harmonizer,testable_real_world_engineering,0.99,24,82,0,https://wiki.fusiongirl.app/index.php?title=Psi_Harmonizer
Universal Physics,testable_real_world_engineering,0.8,24,36,0,https://wiki.fusiongirl.app/index.php?title=Universal_Physics
Neural Scrambler,testable_real_world_engineering,0.99,18,52,0,https://wiki.fusiongirl.app/index.php?title=Neural_Scrambler
Jono Tho'ra - The Master Plan to become ZOCOM Field Commander,testable_real_world_engineering,0.99,15,0,7,https://wiki.fusiongirl.app/index.php?title=Jono_Tho'ra_-_The_Master_Plan_to_become_ZOCOM_Field_Commander
Psi Tech,testable_real_world_engineering,0.77,14,20,3,https://wiki.fusiongirl.app/index.php?title=Psi_Tech
Magnetogravitic,testable_real_world_engineering,0.78,11,16,0,https://wiki.fusiongirl.app/index.php?title=Magnetogravitic
Sensor Modules,testable_real_world_engineering,0.99,9,0,0,https://wiki.fusiongirl.app/index.php?title=Sensor_Modules
Infrared Sensors,testable_real_world_engineering,0.99,9,0,0,https://wiki.fusiongirl.app/index.php?title=Infrared_Sensors
Magneto Repulsors,testable_real_world_engineering,0.99,8,20,11,https://wiki.fusiongirl.app/index.php?title=Magneto_Repulsors
Psi,speculative_hypotheses,0.99,44,178,0,https://wiki.fusiongirl.app/index.php?title=Psi
Psionic Defenses,speculative_hypotheses,0.99,26,160,0,https://wiki.fusiongirl.app/index.php?title=Psionic_Defenses
Psi Devices,speculative_hypotheses,0.99,22,150,0,https://wiki.fusiongirl.app/index.php?title=Psi_Devices
Shield Tech,speculative_hypotheses,0.99,36,144,3,https://wiki.fusiongirl.app/index.php?title=Shield_Tech
Psi Ward,speculative_hypotheses,0.99,23,126,0,https://wiki.fusiongirl.app/index.php?title=Psi_Ward
Psi Gear,speculative_hypotheses,0.99,9,118,3,https://wiki.fusiongirl.app/index.php?title=Psi_Gear
Psi Power,speculative_hypotheses,0.99,26,104,0,https://wiki.fusiongirl.app/index.php?title=Psi_Power
Psionic Ink,speculative_hypotheses,0.99,21,88,0,https://wiki.fusiongirl.app/index.php?title=Psionic_Ink
Psi Pressure,speculative_hypotheses,0.99,20,86,0,https://wiki.fusiongirl.app/index.php?title=Psi_Pressure
Psi Emitter,speculative_hypotheses,0.99,15,86,19,https://wiki.fusiongirl.app/index.php?title=Psi_Emitter
Telekinesis,speculative_hypotheses,0.99,13,86,0,https://wiki.fusiongirl.app/index.php?title=Telekinesis
Psi Stabilizers,speculative_hypotheses,0.99,6,84,14,https://wiki.fusiongirl.app/index.php?title=Psi_Stabilizers
QuaziPhysics,speculative_hypotheses,0.99,27,82,0,https://wiki.fusiongirl.app/index.php?title=QuaziPhysics
Psi Strength,speculative_hypotheses,0.99,12,82,0,https://wiki.fusiongirl.app/index.php?title=Psi_Strength
Psi Flow,speculative_hypotheses,0.99,16,82,0,https://wiki.fusiongirl.app/index.php?title=Psi_Flow
Psi Focus,speculative_hypotheses,0.99,17,80,0,https://wiki.fusiongirl.app/index.php?title=Psi_Focus
Psi Control,speculative_hypotheses,0.99,8,74,0,https://wiki.fusiongirl.app/index.php?title=Psi_Control
Psi Defender,speculative_hypotheses,0.99,10,66,0,https://wiki.fusiongirl.app/index.php?title=Psi_Defender
Psisys,speculative_hypotheses,0.99,12,64,72,https://wiki.fusiongirl.app/index.php?title=Psisys
Psi Blades,speculative_hypotheses,0.99,14,64,8,https://wiki.fusiongirl.app/index.php?title=Psi_Blades
Psionic Field Projection,speculative_hypotheses,0.99,12,60,19,https://wiki.fusiongirl.app/index.php?title=Psionic_Field_Projection
Psionic Resonance Uplink,speculative_hypotheses,0.99,10,58,0,https://wiki.fusiongirl.app/index.php?title=Psionic_Resonance_Uplink
PsiLink,speculative_hypotheses,0.99,6,54,19,https://wiki.fusiongirl.app/index.php?title=PsiLink
Ultra Shields,speculative_hypotheses,0.99,11,52,8,https://wiki.fusiongirl.app/index.php?title=Ultra_Shields
Neural Network Hardware,speculative_hypotheses,0.99,5,46,8,https://wiki.fusiongirl.app/index.php?title=Neural_Network_Hardware
PsiOps,speculative_hypotheses,0.99,0,22,0,https://wiki.fusiongirl.app/index.php?title=PsiOps
Collective Consciousness (Sociology),speculative_hypotheses,0.99,5,18,0,https://wiki.fusiongirl.app/index.php?title=Collective_Consciousness_(Sociology)
Tho'ra Clan Psi-Ops Training Program,speculative_hypotheses,0.99,1,16,5,https://wiki.fusiongirl.app/index.php?title=Tho'ra_Clan_Psi-Ops_Training_Program
Declassified Physics,speculative_hypotheses,0.99,0,14,0,https://wiki.fusiongirl.app/index.php?title=Declassified_Physics
Psionic Engineer,speculative_hypotheses,0.99,1,12,0,https://wiki.fusiongirl.app/index.php?title=Psionic_Engineer
Psionic Power,speculative_hypotheses,0.99,2,12,0,https://wiki.fusiongirl.app/index.php?title=Psionic_Power
PsiSys,speculative_hypotheses,0.99,0,8,51,https://wiki.fusiongirl.app/index.php?title=PsiSys
Magnetokinentic Tech,speculative_hypotheses,0.99,0,8,0,https://wiki.fusiongirl.app/index.php?title=Magnetokinentic_Tech
Psionic Operative,speculative_hypotheses,0.99,1,8,0,https://wiki.fusiongirl.app/index.php?title=Psionic_Operative
Psionic,speculative_hypotheses,0.99,0,8,0,https://wiki.fusiongirl.app/index.php?title=Psionic
Psionics Tech,speculative_hypotheses,0.99,0,6,0,https://wiki.fusiongirl.app/index.php?title=Psionics_Tech
Psi Powers,speculative_hypotheses,0.99,0,6,0,https://wiki.fusiongirl.app/index.php?title=Psi_Powers
Psi Abilities,speculative_hypotheses,0.99,0,6,0,https://wiki.fusiongirl.app/index.php?title=Psi_Abilities
Zero-Point Field,speculative_hypotheses,0.78,4,6,0,https://wiki.fusiongirl.app/index.php?title=Zero-Point_Field
The Magneto Speeder,speculative_hypotheses,0.99,0,4,8,https://wiki.fusiongirl.app/index.php?title=The_Magneto_Speeder
Consciousness Field,speculative_hypotheses,0.8,2,4,0,https://wiki.fusiongirl.app/index.php?title=Consciousness_Field
Psi Energy,speculative_hypotheses,0.7,3,4,0,https://wiki.fusiongirl.app/index.php?title=Psi_Energy
Morphic Fields,speculative_hypotheses,0.9,0,3,0,https://wiki.fusiongirl.app/index.php?title=Morphic_Fields
Field-Effect Transistors (FETs),speculative_hypotheses,0.99,5,0,0,https://wiki.fusiongirl.app/index.php?title=Field-Effect_Transistors_(FETs)
Quantum Physics,speculative_hypotheses,0.99,4,0,0,https://wiki.fusiongirl.app/index.php?title=Quantum_Physics
Sensor,speculative_hypotheses,0.9,3,0,0,https://wiki.fusiongirl.app/index.php?title=Sensor
Wave,speculative_hypotheses,0.8,2,0,0,https://wiki.fusiongirl.app/index.php?title=Wave
"Jono Tho'ra, Space Force and The Magneto Speeder",speculative_hypotheses,0.7,1,0,16,"https://wiki.fusiongirl.app/index.php?title=Jono_Tho'ra,_Space_Force_and_The_Magneto_Speeder"
Æther Field,speculative_hypotheses,0.7,1,0,0,https://wiki.fusiongirl.app/index.php?title=Æther_Field
Intuition Field,speculative_hypotheses,0.7,1,0,0,https://wiki.fusiongirl.app/index.php?title=Intuition_Field
Device,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Device
Magneto Speeders,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Magneto_Speeders
Medical Devices,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Medical_Devices
Cosmic Consciousness,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Cosmic_Consciousness
Physics,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Physics
Wave Function Collapse,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Wave_Function_Collapse
Magnet,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Magnet
Magnetism,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Magnetism
Magneto Tech,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Magneto_Tech
Magnetokinetic Tech,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Magnetokinetic_Tech
Consciousness and Reality,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Consciousness_and_Reality
Magnetized Ferrite,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Magnetized_Ferrite
The Psisys,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=The_Psisys
Metaphysics,speculative_hypotheses,0.65,0,0,0,https://wiki.fusiongirl.app/index.php?title=Metaphysics
Combat Dance Style: Harmonic Fusion Flow Martial Arts,lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Combat_Dance_Style:_Harmonic_Fusion_Flow_Martial_Arts
Astrological Transits 2043 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2043_(Space_Force_Astrology)
Astrological Transits 2043 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2043_(Business_Astrology)
Astrological Transits 2043 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2043_(Raves_Astrology)
Astrological Transits 2043 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2043_(Standard_Astrology)
Astrological Transits 2053 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2053_(Space_Force_Astrology)
Astrological Transits 2053 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2053_(Business_Astrology)
Astrological Transits 2053 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2053_(Raves_Astrology)
Astrological Transits 2053 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2053_(Standard_Astrology)
Astrological Transits 2056 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2056_(Space_Force_Astrology)
Astrological Transits 2056 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2056_(Business_Astrology)
Astrological Transits 2056 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2056_(Raves_Astrology)
Astrological Transits 2056 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2056_(Standard_Astrology)
Astrological Transits 2040 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2040_(Space_Force_Astrology)
Astrological Transits 2040 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2040_(Business_Astrology)
Astrological Transits 2040 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2040_(Raves_Astrology)
Astrological Transits 2040 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2040_(Standard_Astrology)
Astrological Transits 2048 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2048_(Space_Force_Astrology)
Astrological Transits 2048 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2048_(Business_Astrology)
Astrological Transits 2048 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2048_(Raves_Astrology)
Astrological Transits 2048 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2048_(Standard_Astrology)
Astrological Transits 2032 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2032_(Raves_Astrology)
Astrological Transits 2052 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2052_(Space_Force_Astrology)
Astrological Transits 2052 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2052_(Business_Astrology)
Astrological Transits 2052 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2052_(Raves_Astrology)
Astrological Transits 2052 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2052_(Standard_Astrology)
Astrological Transits 2051 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2051_(Space_Force_Astrology)
Astrological Transits 2051 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2051_(Business_Astrology)
Astrological Transits 2051 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2051_(Raves_Astrology)
Astrological Transits 2051 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2051_(Standard_Astrology)
Astrological Transits 2036 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2036_(Space_Force_Astrology)
Astrological Transits 2036 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2036_(Business_Astrology)
Astrological Transits 2036 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2036_(Raves_Astrology)
Astrological Transits 2036 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2036_(Standard_Astrology)
Astrological Transits 2049 (Space Force Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2049_(Space_Force_Astrology)
Astrological Transits 2049 (Business Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2049_(Business_Astrology)
Astrological Transits 2049 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2049_(Raves_Astrology)
Astrological Transits 2049 (Standard Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2049_(Standard_Astrology)
Astrological Transits 2025 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2025_(Raves_Astrology)
Astrological Transits 2031 (Raves Astrology),lore_only,0.95,0,0,1,https://wiki.fusiongirl.app/index.php?title=Astrological_Transits_2031_(Raves_Astrology)
